Modelo,MAE,RMSE,MAPE (%)
Baseline Média,80.78725110397043,112.6677148515984,19.96200414377682
Baseline Dia Anterior,73.64300246305237,99.16485618629552,19.244412507624897
Ridge Regression,52.3053714152768,71.66447869700849,13.314886686840344
Random Forest,39.50393040956905,59.990194745421014,9.44845389620413
Gradient Boosting,39.27647169944788,59.55332630579283,9.359140814781055
Oráculo (Info Perfeita),51.19118604724575,70.96907243585338,13.086731801431966
SARIMAX,99.83923956401425,130.4141834991055,23.97239620876864
